,identificador,ssoo,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,0,1,Predict,Y
3275,48049u,0,60.0,1,1,2.0,1.0,1.0,7.0,1.0,1.0,38,501,189,264.552631579,0.0,0.0,69.0,190.552631579,0.0,1.0,1,1
3276,4804u,1,21.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4,40,18,117.5,0.0,0.0,21.0,96.5,1.0,0.0,0,0
3277,48051u,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,79,1225,368,350.746835443,0.0,0.0,0.0,350.746835443,1.0,0.0,0,0
3278,48053u,0,16.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,15,128,58,80.3333333333,0.0,0.0,16.0,64.3333333333,1.0,0.0,0,0
3279,48066u,1,15.5,4,2,7.0,2.0,2.0,11.0,1.0,1.0,28,308,138,190.892857143,0.0,0.0,33.5,153.392857143,0.0,1.0,1,1
3280,48068u,1,14.0,3,1,7.5,2.0,1.0,19.0,1.0,1.0,42,665,188,173.666666667,0.0,0.0,40.5,116.166666667,0.0,1.0,1,1
3281,48073u,1,16.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,24,204,88,484.291666667,0.0,0.0,16.0,468.291666667,1.0,0.0,0,0
3282,48093u,0,37.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,29,486,158,250.137931034,0.0,0.0,37.0,213.137931034,1.0,0.0,0,0
3283,48097u,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,11,71,31,62.0,0.0,0.0,3.0,59.0,1.0,0.0,0,0
3284,480u,1,27.25,4,4,0.0,0.0,0.0,0.0,0.0,0.0,70,594,229,134.328571429,0.0,0.0,27.25,107.078571429,1.0,0.0,0,0
3285,4810u,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,9,133,53,281.111111111,0.0,0.0,4.0,277.111111111,1.0,0.0,0,0
3286,48124u,1,3.33333333333,3,3,4.33333333333,3.0,3.0,4.33333333333,3.0,3.0,31,301,117,182.387096774,0.0,0.0,12.0,168.053763441,0.0,1.0,1,1
3287,48133u,1,5.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,4,59,20,300.0,0.0,0.0,5.5,294.5,1.0,0.0,0,0
3288,48139u,1,29.0,1,1,7.0,1.0,1.0,17.0,1.0,1.0,43,412,145,157.720930233,0.0,0.0,53.0,95.720930233,0.0,1.0,1,1
3289,48146u,0,47.0,1,1,9.0,1.0,1.0,14.0,1.0,1.0,119,772,351,124.87394958,0.0,0.0,70.0,46.87394958,0.1,0.9,1,1
3290,48176u,0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,16,315,103,152.6875,0.0,0.0,1.0,151.6875,1.0,0.0,0,0
3291,481u,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8,194,42,361.375,0.0,0.0,4.0,357.375,1.0,0.0,0,0
3292,48207u,1,10.2,10,8,3.22222222222,9.0,8.0,7.66666666667,9.0,8.0,74,706,302,158.486486486,0.0,0.0,21.0888888889,132.73093093,0.0,1.0,1,1
3293,48208u,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,68,599,251,108.382352941,0.0,0.0,6.0,102.382352941,1.0,0.0,0,0
3294,48212u,1,4.25,4,1,13.0,1.0,1.0,0.0,0.0,0.0,31,323,127,94.064516129,0.0,0.0,17.25,76.814516129,1.0,0.0,0,0
3295,48213u,0,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,42,407,180,189.285714286,0.0,0.0,2.0,187.285714286,1.0,0.0,0,0
3296,48219u,1,15.0,1,1,7.0,1.0,1.0,24.0,1.0,1.0,77,366,176,51.1558441558,0.0,0.0,46.0,0.1558441558,0.0,1.0,1,1
3297,48239u,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,15,172,66,242.8,0.0,0.0,3.0,239.8,1.0,0.0,0,0
