,identificador,Página,Promedio de tiempo en la página,Número de visitas a páginas,Número de visitas a páginas únicas
600,282902u,page3,8.0,1,1
601,124291u,page1,2.0,1,1
602,292571u,page1,34.0,1,1
603,292571u,page3,14.0,1,1
604,292571u,page4,8.0,1,1
605,292571u,page2,5.0,1,1
606,236310u,page1,18.0,1,1
607,73467u,page1,21.0,2,1
608,73467u,page2,14.0,2,1
609,73467u,page4,13.0,1,1
610,73467u,page3,9.33333333333,3,1
611,31749u,page1,6.0,2,1
612,89895u,page1,12.6666666667,3,2
613,123766u,page1,15.0,3,2
614,123766u,page3,9.0,2,2
615,123766u,page2,4.0,2,2
616,123766u,page4,2.0,2,2
617,130412u,page1,25.6666666667,3,2
618,130412u,page4,8.5,2,2
619,130412u,page3,5.5,2,2
620,130412u,page2,4.5,2,2
621,267502u,page1,12.5,2,2
622,245991u,page1,0.0,1,1
623,83323u,page1,7.0,1,1
624,166427u,page1,4.0,1,1
625,115271u,page1,26.6666666667,3,3
626,115271u,page3,12.5,2,2
627,115271u,page4,6.0,2,2
628,115271u,page2,2.5,2,2
629,89874u,page3,18.0,1,1
630,89874u,page1,11.0,1,1
631,89874u,page4,5.0,1,1
632,89874u,page2,3.0,1,1
633,127891u,page2,11.0,1,1
634,127891u,page1,10.75,4,3
635,281790u,page1,24.75,4,3
636,228008u,page1,25.5,2,2
637,63838u,page3,17.6666666667,3,1
638,63838u,page4,9.0,1,1
639,63838u,page1,8.25,4,2
640,63838u,page2,3.66666666667,3,1
641,243355u,page1,7.33333333333,3,3
642,290174u,page3,21.0,1,1
643,290174u,page1,8.0,1,1
644,290174u,page4,7.0,1,1
645,290174u,page2,3.0,1,1
646,116942u,page1,10.0,1,1
647,229621u,page1,13.0,1,1
648,229621u,page3,12.0,1,1
649,229621u,page4,6.0,1,1
650,229621u,page2,5.0,1,1
651,150596u,page3,15.0,1,1
652,150596u,page1,13.5,2,2
653,150596u,page4,6.0,1,1
654,150596u,page2,3.0,1,1
655,19596u,page1,23.0,1,1
656,56111u,page1,15.5,2,2
657,56111u,page3,7.0,2,2
658,56111u,page4,5.0,2,2
659,56111u,page2,4.5,2,2
660,164960u,page4,8.0,2,2
661,164960u,page3,6.5,2,2
662,164960u,page2,5.6,5,2
663,164960u,page1,4.625,8,2
664,238519u,page2,26.0,1,1
665,238519u,page1,25.6666666667,3,1
666,226701u,page1,11.1666666667,6,6
667,226701u,page3,10.0,6,6
668,226701u,page4,5.66666666667,6,6
669,226701u,page2,4.0,6,6
670,273445u,page1,4.0,1,1
671,125361u,page1,8.0,1,1
672,88529u,page1,13.0,1,1
673,88529u,page3,11.0,1,1
674,88529u,page2,3.0,1,1
675,88529u,page4,3.0,1,1
676,147556u,page1,18.0,1,1
677,85088u,page3,12.0,1,1
678,85088u,page1,9.875,8,7
679,85088u,page2,9.5,2,2
680,85088u,page4,7.0,1,1
681,158668u,page1,7.0,1,1
682,127325u,page3,12.0,1,1
683,127325u,page1,7.0,1,1
684,127325u,page4,6.0,1,1
685,127325u,page2,3.0,1,1
686,86915u,page1,23.0,1,1
687,86915u,page4,14.0,1,1
688,86915u,page3,10.0,1,1
689,86915u,page2,7.0,1,1
690,140320u,page1,23.6666666667,3,2
691,37808u,page3,26.0,1,1
692,37808u,page4,24.0,1,1
693,37808u,page1,15.0,1,1
694,37808u,page2,8.0,1,1
695,216362u,page1,19.5,4,2
696,216362u,page3,11.0,2,2
697,216362u,page4,9.5,2,2
698,216362u,page2,9.0,2,2
699,236434u,page1,13.0,1,1
700,236434u,page3,11.0,1,1
701,236434u,page4,6.0,1,1
702,236434u,page2,3.0,1,1
703,52602u,page3,11.5714285714,7,7
704,52602u,page1,11.4285714286,7,7
705,52602u,page4,3.42857142857,7,7
706,52602u,page2,2.57142857143,7,7
707,88883u,page1,17.0,1,1
708,88883u,page3,11.0,1,1
709,88883u,page4,6.0,1,1
710,88883u,page2,3.0,1,1
711,283293u,page1,13.0,1,1
712,283293u,page3,9.0,1,1
713,283293u,page4,4.0,1,1
714,283293u,page2,2.0,1,1
715,258603u,page1,4.0,1,1
716,252141u,page1,11.0,1,1
717,104217u,page3,20.0,1,1
718,104217u,page4,12.0,1,1
719,104217u,page1,10.0,1,1
720,104217u,page2,9.0,1,1
721,277762u,page1,20.0,1,1
722,251652u,page1,91.3333333333,3,1
723,97616u,page1,4.0,1,1
724,25098u,page1,8.0,1,1
725,19840u,page3,13.0,1,1
726,19840u,page1,9.5,2,2
727,19840u,page2,3.0,1,1
728,19840u,page4,3.0,1,1
729,117185u,page1,26.0,3,2
730,117185u,page4,14.6666666667,3,2
731,117185u,page3,14.3333333333,3,2
732,117185u,page2,9.33333333333,3,2
733,35625u,page1,7.5,2,2
734,135602u,page1,7.0,1,1
735,50383u,page2,18.0,1,1
736,50383u,page1,11.75,4,2
737,22711u,page1,0.0,1,1
738,269745u,page1,15.5,4,3
739,269745u,page3,15.0,2,2
740,269745u,page2,12.6666666667,3,3
741,269745u,page4,8.0,2,2
742,77966u,page1,24.0,4,4
743,293605u,page3,10.0,1,1
744,293605u,page1,9.0,1,1
745,293605u,page4,9.0,1,1
746,293605u,page2,4.0,1,1
747,280187u,page1,10.0,1,1
748,272738u,page4,12.0,1,1
749,272738u,page3,10.0,2,1
750,272738u,page1,7.5,4,3
751,272738u,page2,3.0,1,1
752,144485u,page3,10.0,1,1
753,144485u,page1,9.0,2,2
754,144485u,page4,5.0,1,1
755,144485u,page2,4.0,1,1
756,29217u,page1,2.0,1,1
757,171024u,page1,14.0,1,1
758,2890u,page1,39.0,1,1
759,2890u,page3,35.0,1,1
760,2890u,page2,18.0,1,1
761,2890u,page4,10.0,1,1
762,252142u,page1,2.0,1,1
763,124704u,page1,18.0,1,1
764,151480u,page1,14.0,4,4
765,151480u,page3,12.5,2,2
766,151480u,page4,7.5,2,2
767,151480u,page2,3.5,2,2
768,2055u,page3,12.0,1,1
769,2055u,page4,12.0,1,1
770,2055u,page1,8.0,1,1
771,2055u,page2,6.0,1,1
772,245331u,page1,33.0,1,1
773,196384u,page3,12.0,1,1
774,196384u,page1,8.0,1,1
775,196384u,page4,7.0,1,1
776,196384u,page2,2.0,1,1
777,192043u,page1,33.6666666667,3,3
778,192043u,page3,17.0,1,1
779,192043u,page2,6.0,1,1
780,142436u,page2,8.0,1,1
781,142436u,page4,8.0,1,1
782,142436u,page3,7.0,1,1
783,142436u,page1,6.0,1,1
784,83044u,page4,10.0,1,1
785,83044u,page3,9.0,1,1
786,83044u,page1,6.0,1,1
787,83044u,page2,5.0,1,1
788,113888u,page1,5.0,1,1
789,282492u,page3,10.5,2,2
790,282492u,page1,8.5,2,2
791,282492u,page2,3.5,2,2
792,282492u,page4,3.5,2,2
793,7973u,page1,35.0,1,1
794,7973u,page3,12.5,2,1
795,7973u,page2,11.0,1,1
