identificador,ssoo,profundidad,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,avg_tiempo_pag4,vistas_pag4,vistas_unicas_pag4,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,Y
291157u,0,1,14.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,941,416,80.2066115702,0.0,0.0,14.0,66.2066115702,0
29115u,0,4,22.0,1,1,2.0,1.0,1.0,9.0,1.0,1.0,3.0,1.0,1.0,59,635,251,161.694915254,0.0,0.0,33.0,125.694915254,1
291169u,1,4,9.66666666667,3,3,6.66666666667,3.0,3.0,12.6666666667,3.0,3.0,10.0,4.0,3.0,13,126,60,138.307692308,0.0,0.0,29.0,99.307692308,1
291179u,1,4,34.75,4,2,23.3333333333,3.0,2.0,22.5,2.0,2.0,16.5,2.0,2.0,60,639,254,202.683333333,0.0,0.0,80.5833333333,105.6,1
291183u,0,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,487,185,69.1428571429,0.0,0.0,6.0,63.1428571429,0
291185u,1,4,7.0,2,1,4.0,1.0,1.0,14.0,1.0,1.0,6.0,1.0,1.0,21,439,136,387.095238095,0.0,0.0,25.0,356.095238095,1
291188u,1,4,5.33333333333,3,2,8.5,2.0,2.0,9.5,2.0,1.0,11.0,1.0,1.0,25,223,88,134.92,0.0,0.0,23.3333333333,100.586666667,1
291190u,0,4,11.1428571429,7,6,20.2,5.0,5.0,19.0,4.0,4.0,16.5,4.0,4.0,60,373,211,157.033333333,0.0,0.0,50.3428571429,90.1904761901,1
291201u,1,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,53,21,191.0,0.0,0.0,4.0,187.0,0
291218u,0,4,20.0,1,1,4.0,1.0,1.0,14.0,1.0,1.0,5.0,1.0,1.0,47,404,185,80.4468085106,0.0,0.0,38.0,37.4468085106,1
291231u,1,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,84,36,205.0,0.0,0.0,1.0,204.0,0
291251u,1,4,8.0,4,3,6.0,3.0,3.0,4.5,2.0,2.0,2.0,2.0,2.0,42,347,138,141.666666667,0.0,0.0,18.5,121.166666667,1
291262u,0,1,8.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,294,117,198.869565217,0.0,0.0,8.0,190.869565217,0
291272u,0,1,11.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,216,82,701.416666667,0.0,0.0,11.0,690.416666667,0
291284u,0,4,25.0,1,1,6.0,1.0,1.0,75.0,1.0,1.0,6.0,1.0,1.0,76,846,304,179.0,0.0,0.0,106.0,67.0,1
