,identificador,Sistema operativo,Usuarios
658,159004u,Mac OS,1
659,217696u,Windows OS,1
660,54774u,Windows OS,1
661,53775u,Mac OS,1
662,46994u,Windows OS,1
663,266292u,Windows OS,1
664,279908u,Mac OS,1
665,295625u,Windows OS,1
666,7689u,Windows OS,1
667,146923u,Windows OS,1
668,160189u,Windows OS,1
669,280024u,Windows OS,1
670,155619u,Mac OS,1
671,147858u,Mac OS,1
672,186611u,Windows OS,1
673,72012u,Mac OS,1
674,255724u,Mac OS,1
675,1105u,Windows OS,1
676,187871u,Windows OS,1
677,83531u,Mac OS,1
678,139248u,Windows OS,1
679,192673u,Mac OS,1
680,298593u,Mac OS,1
681,150688u,Windows OS,1
682,171090u,Windows OS,1
683,13491u,Windows OS,1
684,80845u,Windows OS,1
685,206994u,Mac OS,1
686,107072u,Windows OS,1
687,144469u,Windows OS,1
688,186528u,Windows OS,1
689,229330u,Mac OS,1
690,101293u,Mac OS,1
691,118683u,Mac OS,1
692,141965u,Windows OS,1
693,271154u,Mac OS,1
694,287208u,Windows OS,1
695,282800u,Mac OS,1
696,239420u,Windows OS,1
697,148497u,Mac OS,1
698,245715u,Windows OS,1
699,285931u,Windows OS,1
700,292465u,Mac OS,1
701,230432u,Mac OS,1
702,83350u,Windows OS,1
703,187514u,Mac OS,1
704,227872u,Mac OS,1
705,167872u,Windows OS,1
706,34028u,Windows OS,1
707,184359u,Windows OS,1
708,229950u,Windows OS,1
709,111194u,Windows OS,1
710,169729u,Mac OS,1
711,144975u,Windows OS,1
712,179208u,Windows OS,1
713,58782u,Mac OS,1
714,247156u,Windows OS,1
715,189527u,Mac OS,1
716,297698u,Mac OS,1
717,65489u,Windows OS,1
718,67822u,Windows OS,1
719,56926u,Windows OS,1
720,283227u,Windows OS,1
721,37356u,Windows OS,1
722,102581u,Windows OS,1
723,129583u,Mac OS,1
724,189067u,Windows OS,1
725,40194u,Windows OS,1
726,17127u,Windows OS,1
727,9542u,Mac OS,1
728,279805u,Windows OS,1
729,225935u,Mac OS,1
730,52988u,Windows OS,1
731,98905u,Windows OS,1
732,179325u,Mac OS,1
733,66378u,Windows OS,1
734,153085u,Windows OS,1
735,187403u,Windows OS,1
736,198866u,Windows OS,1
737,279775u,Mac OS,1
738,98861u,Windows OS,1
739,113411u,Windows OS,1
740,208273u,Windows OS,1
741,32016u,Mac OS,1
742,30963u,Windows OS,1
743,160741u,Windows OS,1
744,110653u,Mac OS,1
745,102509u,Windows OS,1
746,286300u,Windows OS,1
747,252113u,Mac OS,1
748,196672u,Windows OS,1
749,167674u,Mac OS,1
750,27892u,Windows OS,1
751,73760u,Windows OS,1
752,298625u,Mac OS,1
753,153632u,Windows OS,1
754,260813u,Windows OS,1
755,131563u,Windows OS,1
756,40708u,Mac OS,1
757,54189u,Windows OS,1
758,271373u,Mac OS,1
759,54931u,Mac OS,1
760,256860u,Windows OS,1
761,6320u,Mac OS,1
762,13106u,Windows OS,1
763,32558u,Windows OS,1
764,219430u,Windows OS,1
765,169943u,Windows OS,1
766,33240u,Mac OS,1
767,152484u,Windows OS,1
768,229349u,Windows OS,1
769,122214u,Mac OS,1
770,263386u,Mac OS,1
771,70014u,Windows OS,1
772,152864u,Windows OS,1
773,203705u,Windows OS,1
774,33548u,Windows OS,1
775,219743u,Mac OS,1
776,203959u,Mac OS,1
777,173953u,Mac OS,1
778,41566u,Mac OS,1
779,35540u,Windows OS,1
780,59377u,Windows OS,1
781,287894u,Windows OS,1
782,191451u,Windows OS,1
783,298778u,Windows OS,1
784,181515u,Windows OS,1
785,299666u,Windows OS,1
786,175420u,Windows OS,1
787,95106u,Windows OS,1
788,282614u,Windows OS,1
789,169604u,Windows OS,1
790,111035u,Windows OS,1
791,250794u,Windows OS,1
792,137785u,Windows OS,1
793,289586u,Mac OS,1
794,265907u,Windows OS,1
795,67830u,Mac OS,1
796,197075u,Mac OS,1
797,260785u,Windows OS,1
798,244681u,Windows OS,1
799,237702u,Mac OS,1
800,94824u,Windows OS,1
801,170680u,Mac OS,1
802,224380u,Mac OS,1
803,129304u,Windows OS,1
804,218245u,Windows OS,1
805,20777u,Windows OS,1
806,241162u,Windows OS,1
807,41125u,Windows OS,1
808,8686u,Windows OS,1
809,171888u,Mac OS,1
810,160392u,Windows OS,1
811,181852u,Windows OS,1
812,211160u,Mac OS,1
813,271780u,Windows OS,1
814,279218u,Mac OS,1
815,110842u,Mac OS,1
816,131748u,Mac OS,1
817,220215u,Windows OS,1
818,141901u,Mac OS,1
819,193592u,Mac OS,1
820,62507u,Windows OS,1
821,156721u,Windows OS,1
822,45325u,Windows OS,1
823,76917u,Mac OS,1
824,191539u,Windows OS,1
825,102211u,Windows OS,1
826,123793u,Windows OS,1
827,253650u,Windows OS,1
828,78549u,Windows OS,1
829,82736u,Windows OS,1
830,69664u,Windows OS,1
831,19627u,Windows OS,1
832,274133u,Mac OS,1
833,79406u,Mac OS,1
834,105143u,Windows OS,1
835,195393u,Windows OS,1
836,82968u,Windows OS,1
837,211871u,Mac OS,1
838,172457u,Windows OS,1
839,145740u,Windows OS,1
840,16573u,Windows OS,1
841,257359u,Windows OS,1
842,48641u,Windows OS,1
843,220208u,Windows OS,1
844,60075u,Windows OS,1
845,211210u,Windows OS,1
846,109227u,Windows OS,1
847,239466u,Windows OS,1
848,253351u,Windows OS,1
849,176576u,Windows OS,1
850,125945u,Windows OS,1
851,242533u,Mac OS,1
852,114863u,Mac OS,1
853,299120u,Mac OS,1
854,130751u,Mac OS,1
855,250385u,Windows OS,1
856,184944u,Mac OS,1
857,17081u,Windows OS,1
858,183477u,Windows OS,1
859,39302u,Windows OS,1
860,231167u,Windows OS,1
861,219047u,Windows OS,1
862,202862u,Windows OS,1
863,7897u,Windows OS,1
864,44493u,Mac OS,1
865,69396u,Windows OS,1
866,248382u,Windows OS,1
867,22268u,Mac OS,1
868,14657u,Windows OS,1
869,88954u,Windows OS,1
870,55134u,Windows OS,1
871,30216u,Mac OS,1
872,3382u,Windows OS,1
873,18058u,Mac OS,1
874,177312u,Windows OS,1
875,183916u,Windows OS,1
876,254588u,Windows OS,1
877,92875u,Mac OS,1
878,137972u,Mac OS,1
879,92132u,Windows OS,1
880,294876u,Windows OS,1
881,101630u,Windows OS,1
882,82820u,Windows OS,1
883,217759u,Windows OS,1
884,188154u,Windows OS,1
885,154607u,Windows OS,1
886,59613u,Windows OS,1
887,127312u,Windows OS,1
888,107840u,Mac OS,1
889,291493u,Windows OS,1
890,76139u,Mac OS,1
891,132095u,Windows OS,1
892,40178u,Mac OS,1
893,154626u,Windows OS,1
894,212256u,Windows OS,1
895,150524u,Mac OS,1
896,80322u,Mac OS,1
897,207532u,Windows OS,1
898,298243u,Windows OS,1
899,91771u,Mac OS,1
900,186045u,Mac OS,1
901,293837u,Windows OS,1
902,201281u,Windows OS,1
903,110923u,Windows OS,1
904,62329u,Windows OS,1
905,136499u,Windows OS,1
906,224347u,Windows OS,1
907,111917u,Mac OS,1
908,243625u,Windows OS,1
909,40958u,Windows OS,1
910,294495u,Windows OS,1
911,203880u,Windows OS,1
912,180335u,Windows OS,1
913,96646u,Windows OS,1
914,45791u,Mac OS,1
915,105491u,Mac OS,1
916,202994u,Windows OS,1
917,22931u,Mac OS,1
918,29834u,Windows OS,1
919,296546u,Windows OS,1
920,43110u,Mac OS,1
921,91377u,Mac OS,1
922,69381u,Windows OS,1
923,76883u,Windows OS,1
924,63876u,Mac OS,1
925,32128u,Mac OS,1
926,280892u,Windows OS,1
927,189065u,Windows OS,1
928,149248u,Windows OS,1
929,166264u,Windows OS,1
930,96515u,Windows OS,1
931,123161u,Mac OS,1
932,64949u,Windows OS,1
933,261397u,Mac OS,1
934,172543u,Mac OS,1
935,290975u,Mac OS,1
936,132385u,Windows OS,1
937,39275u,Windows OS,1
938,203941u,Mac OS,1
939,214099u,Windows OS,1
940,252616u,Windows OS,1
941,237996u,Windows OS,1
942,271421u,Windows OS,1
943,74192u,Windows OS,1
944,49823u,Windows OS,1
945,266250u,Windows OS,1
946,137553u,Mac OS,1
947,48133u,Windows OS,1
948,160729u,Windows OS,1
949,205031u,Mac OS,1
950,251414u,Windows OS,1
951,56380u,Windows OS,1
952,239260u,Windows OS,1
953,184043u,Windows OS,1
954,22108u,Windows OS,1
955,34800u,Windows OS,1
956,183150u,Windows OS,1
957,242544u,Windows OS,1
958,240150u,Mac OS,1
959,127521u,Windows OS,1
960,11435u,Windows OS,1
961,180787u,Mac OS,1
962,262859u,Mac OS,1
963,156256u,Windows OS,1
964,206911u,Windows OS,1
965,31630u,Windows OS,1
966,48892u,Windows OS,1
967,222139u,Mac OS,1
968,79903u,Windows OS,1
969,156089u,Windows OS,1
970,235236u,Windows OS,1
971,104146u,Windows OS,1
972,75867u,Windows OS,1
973,49272u,Windows OS,1
974,83823u,Mac OS,1
975,137757u,Windows OS,1
976,87297u,Mac OS,1
977,278299u,Windows OS,1
978,275309u,Mac OS,1
979,6568u,Windows OS,1
980,235952u,Windows OS,1
981,226975u,Windows OS,1
982,178161u,Windows OS,1
983,201467u,Mac OS,1
984,96889u,Windows OS,1
985,243576u,Mac OS,1
986,184770u,Windows OS,1
987,67091u,Windows OS,1
988,118368u,Windows OS,1
989,58271u,Mac OS,1
990,38159u,Mac OS,1
991,161620u,Mac OS,1
992,73894u,Windows OS,1
993,189061u,Mac OS,1
