,identificador,Sistema operativo,Usuarios
21902,181964u,Windows OS,1
21903,157614u,Windows OS,1
21904,219062u,Mac OS,1
21905,71991u,Windows OS,1
21906,108811u,Windows OS,1
21907,245784u,Windows OS,1
21908,289106u,Windows OS,1
21909,92183u,Mac OS,1
21910,84186u,Mac OS,1
21911,12207u,Windows OS,1
21912,112895u,Mac OS,1
21913,31335u,Mac OS,1
21914,183103u,Mac OS,1
21915,260888u,Mac OS,1
21916,111089u,Windows OS,1
21917,80104u,Mac OS,1
21918,64427u,Windows OS,1
21919,144433u,Windows OS,1
21920,154114u,Mac OS,1
21921,226280u,Windows OS,1
21922,154300u,Mac OS,1
21923,298973u,Windows OS,1
21924,119648u,Mac OS,1
21925,290913u,Windows OS,1
21926,253592u,Mac OS,1
21927,193129u,Windows OS,1
21928,133850u,Mac OS,1
21929,131554u,Mac OS,1
21930,114522u,Windows OS,1
21931,29448u,Mac OS,1
21932,261922u,Windows OS,1
21933,200802u,Windows OS,1
21934,60230u,Windows OS,1
21935,19375u,Mac OS,1
21936,77157u,Mac OS,1
21937,226561u,Mac OS,1
21938,115316u,Mac OS,1
21939,198431u,Windows OS,1
21940,212043u,Mac OS,1
21941,217107u,Mac OS,1
21942,71704u,Mac OS,1
21943,170623u,Mac OS,1
21944,224171u,Windows OS,1
21945,161151u,Mac OS,1
21946,143557u,Mac OS,1
21947,240952u,Windows OS,1
21948,44471u,Mac OS,1
21949,285208u,Windows OS,1
21950,18582u,Mac OS,1
21951,165422u,Mac OS,1
21952,258314u,Windows OS,1
21953,228193u,Mac OS,1
21954,117944u,Windows OS,1
21955,298534u,Mac OS,1
21956,231910u,Windows OS,1
21957,198582u,Windows OS,1
21958,296259u,Windows OS,1
21959,9511u,Mac OS,1
21960,71039u,Windows OS,1
21961,242023u,Mac OS,1
21962,224561u,Windows OS,1
21963,62554u,Windows OS,1
21964,241000u,Windows OS,1
21965,98083u,Mac OS,1
21966,245998u,Mac OS,1
21967,78693u,Windows OS,1
21968,223074u,Mac OS,1
21969,114444u,Windows OS,1
21970,218922u,Mac OS,1
21971,105312u,Windows OS,1
21972,34812u,Mac OS,1
21973,26030u,Windows OS,1
21974,52157u,Mac OS,1
21975,267092u,Windows OS,1
21976,157742u,Windows OS,1
21977,87910u,Windows OS,1
21978,167440u,Windows OS,1
21979,127504u,Windows OS,1
21980,51121u,Mac OS,1
21981,232905u,Mac OS,1
21982,266506u,Windows OS,1
21983,294713u,Windows OS,1
21984,44370u,Mac OS,1
21985,99805u,Windows OS,1
21986,298059u,Windows OS,1
21987,200674u,Windows OS,1
21988,168175u,Windows OS,1
21989,82347u,Windows OS,1
21990,10593u,Mac OS,1
21991,25520u,Mac OS,1
21992,66283u,Mac OS,1
21993,257294u,Windows OS,1
21994,87272u,Windows OS,1
21995,228026u,Windows OS,1
21996,205017u,Windows OS,1
21997,263393u,Mac OS,1
21998,89293u,Windows OS,1
21999,204480u,Windows OS,1
22000,70134u,Mac OS,1
22001,227871u,Mac OS,1
22002,222213u,Windows OS,1
22003,229457u,Mac OS,1
22004,87507u,Windows OS,1
22005,163224u,Windows OS,1
22006,42691u,Windows OS,1
22007,113077u,Windows OS,1
22008,189351u,Windows OS,1
22009,247015u,Windows OS,1
22010,40227u,Mac OS,1
22011,106680u,Mac OS,1
22012,27582u,Windows OS,1
22013,106617u,Windows OS,1
22014,16139u,Mac OS,1
22015,150056u,Mac OS,1
22016,182673u,Windows OS,1
22017,11410u,Windows OS,1
22018,120680u,Windows OS,1
22019,120998u,Mac OS,1
22020,268753u,Windows OS,1
22021,189423u,Mac OS,1
22022,279963u,Windows OS,1
22023,241840u,Mac OS,1
22024,176030u,Windows OS,1
22025,77270u,Windows OS,1
22026,55985u,Windows OS,1
22027,275133u,Windows OS,1
22028,396u,Mac OS,1
22029,7272u,Mac OS,1
22030,293273u,Windows OS,1
22031,105192u,Windows OS,1
22032,229733u,Mac OS,1
22033,281049u,Windows OS,1
22034,267994u,Windows OS,1
22035,100364u,Mac OS,1
22036,226494u,Windows OS,1
22037,277536u,Windows OS,1
22038,283066u,Mac OS,1
22039,282359u,Windows OS,1
22040,55800u,Windows OS,1
22041,258133u,Windows OS,1
22042,125999u,Windows OS,1
22043,284811u,Mac OS,1
22044,33926u,Windows OS,1
22045,139619u,Windows OS,1
22046,16987u,Windows OS,1
22047,94388u,Mac OS,1
22048,69631u,Windows OS,1
22049,49326u,Mac OS,1
22050,249041u,Windows OS,1
22051,158355u,Windows OS,1
22052,292387u,Windows OS,1
22053,90548u,Mac OS,1
22054,28657u,Mac OS,1
22055,243527u,Windows OS,1
22056,54860u,Mac OS,1
22057,167807u,Windows OS,1
22058,295049u,Windows OS,1
22059,84139u,Windows OS,1
22060,77456u,Mac OS,1
22061,218295u,Windows OS,1
22062,219037u,Windows OS,1
22063,35495u,Mac OS,1
22064,286903u,Mac OS,1
22065,153024u,Mac OS,1
22066,179846u,Windows OS,1
22067,52111u,Windows OS,1
22068,299834u,Mac OS,1
22069,266337u,Mac OS,1
22070,277420u,Mac OS,1
22071,122635u,Windows OS,1
22072,166862u,Mac OS,1
22073,228735u,Windows OS,1
22074,108663u,Mac OS,1
22075,146056u,Windows OS,1
22076,117083u,Mac OS,1
22077,214373u,Mac OS,1
22078,274498u,Windows OS,1
22079,18955u,Windows OS,1
22080,179559u,Windows OS,1
22081,282291u,Windows OS,1
22082,116275u,Windows OS,1
22083,123728u,Windows OS,1
22084,106504u,Mac OS,1
22085,247982u,Windows OS,1
22086,153834u,Mac OS,1
22087,275725u,Windows OS,1
22088,84874u,Mac OS,1
22089,6678u,Windows OS,1
22090,109611u,Mac OS,1
22091,184337u,Mac OS,1
22092,197952u,Windows OS,1
22093,146150u,Windows OS,1
22094,177426u,Mac OS,1
22095,30520u,Windows OS,1
22096,248561u,Windows OS,1
22097,10851u,Windows OS,1
22098,227236u,Mac OS,1
22099,208114u,Windows OS,1
22100,61373u,Windows OS,1
22101,86200u,Mac OS,1
22102,251605u,Windows OS,1
22103,136483u,Mac OS,1
22104,50522u,Windows OS,1
22105,20018u,Mac OS,1
22106,95992u,Windows OS,1
22107,233283u,Mac OS,1
22108,178041u,Mac OS,1
22109,248964u,Windows OS,1
22110,213327u,Mac OS,1
22111,196543u,Windows OS,1
22112,286038u,Windows OS,1
22113,226846u,Windows OS,1
22114,4810u,Windows OS,1
22115,107404u,Windows OS,1
22116,168240u,Mac OS,1
22117,234592u,Windows OS,1
22118,228539u,Mac OS,1
22119,185450u,Windows OS,1
22120,147644u,Mac OS,1
22121,199084u,Mac OS,1
22122,84257u,Mac OS,1
22123,219181u,Mac OS,1
22124,292329u,Mac OS,1
22125,187455u,Mac OS,1
22126,217633u,Mac OS,1
22127,132321u,Mac OS,1
22128,171691u,Windows OS,1
22129,208328u,Windows OS,1
22130,84551u,Mac OS,1
22131,99232u,Windows OS,1
22132,30099u,Windows OS,1
22133,64054u,Windows OS,1
22134,182966u,Mac OS,1
22135,165839u,Windows OS,1
22136,38602u,Mac OS,1
22137,3326u,Mac OS,1
22138,54159u,Windows OS,1
22139,212397u,Windows OS,1
22140,19595u,Windows OS,1
22141,174749u,Windows OS,1
22142,44676u,Mac OS,1
22143,54753u,Mac OS,1
22144,42788u,Windows OS,1
22145,28120u,Windows OS,1
22146,15123u,Windows OS,1
22147,281415u,Windows OS,1
22148,110861u,Mac OS,1
22149,206819u,Mac OS,1
22150,97250u,Mac OS,1
22151,115787u,Mac OS,1
22152,281362u,Windows OS,1
22153,152156u,Mac OS,1
22154,8148u,Mac OS,1
22155,124303u,Windows OS,1
22156,190395u,Mac OS,1
22157,221660u,Mac OS,1
22158,145777u,Mac OS,1
22159,4126u,Mac OS,1
22160,265674u,Windows OS,1
22161,266856u,Windows OS,1
22162,57678u,Mac OS,1
22163,172614u,Mac OS,1
22164,229152u,Windows OS,1
22165,138981u,Mac OS,1
22166,155456u,Windows OS,1
22167,56701u,Windows OS,1
22168,93330u,Windows OS,1
22169,2406u,Mac OS,1
22170,86974u,Mac OS,1
22171,100346u,Mac OS,1
22172,120142u,Windows OS,1
22173,35736u,Windows OS,1
22174,93057u,Mac OS,1
22175,82752u,Mac OS,1
22176,141748u,Windows OS,1
22177,74447u,Windows OS,1
22178,35432u,Mac OS,1
22179,54946u,Mac OS,1
22180,108909u,Windows OS,1
22181,127615u,Windows OS,1
22182,57590u,Windows OS,1
22183,85223u,Windows OS,1
22184,158373u,Windows OS,1
22185,25497u,Mac OS,1
22186,151022u,Mac OS,1
22187,104694u,Mac OS,1
22188,10468u,Windows OS,1
22189,101204u,Windows OS,1
22190,136357u,Mac OS,1
22191,231859u,Windows OS,1
22192,172059u,Windows OS,1
22193,141873u,Windows OS,1
22194,18601u,Mac OS,1
22195,236202u,Windows OS,1
22196,244112u,Windows OS,1
22197,194594u,Mac OS,1
22198,153814u,Mac OS,1
22199,125490u,Mac OS,1
22200,195187u,Windows OS,1
22201,138813u,Mac OS,1
22202,197542u,Windows OS,1
22203,229533u,Mac OS,1
22204,232134u,Mac OS,1
22205,112931u,Windows OS,1
22206,86431u,Mac OS,1
22207,296198u,Mac OS,1
22208,135201u,Windows OS,1
22209,209195u,Windows OS,1
22210,196786u,Mac OS,1
22211,163644u,Windows OS,1
22212,89422u,Windows OS,1
22213,257034u,Windows OS,1
22214,52827u,Windows OS,1
22215,274630u,Mac OS,1
22216,215608u,Windows OS,1
22217,44470u,Mac OS,1
22218,141659u,Windows OS,1
22219,152331u,Windows OS,1
22220,9707u,Windows OS,1
22221,274200u,Windows OS,1
22222,5348u,Windows OS,1
22223,278385u,Mac OS,1
22224,150493u,Windows OS,1
22225,118229u,Windows OS,1
22226,179642u,Mac OS,1
22227,226710u,Mac OS,1
22228,180913u,Windows OS,1
22229,211926u,Mac OS,1
22230,223073u,Windows OS,1
22231,59636u,Mac OS,1
22232,69012u,Mac OS,1
22233,243249u,Windows OS,1
22234,239275u,Windows OS,1
22235,220304u,Mac OS,1
22236,74044u,Windows OS,1
22237,121386u,Mac OS,1
22238,13268u,Mac OS,1
22239,252708u,Windows OS,1
22240,217903u,Windows OS,1
22241,181618u,Mac OS,1
22242,213322u,Windows OS,1
22243,106204u,Mac OS,1
22244,6249u,Mac OS,1
22245,110942u,Mac OS,1
22246,136306u,Windows OS,1
22247,258339u,Mac OS,1
22248,37182u,Mac OS,1
22249,138756u,Mac OS,1
22250,18978u,Mac OS,1
22251,258329u,Windows OS,1
22252,206268u,Mac OS,1
22253,286763u,Mac OS,1
22254,184126u,Windows OS,1
22255,269655u,Mac OS,1
22256,299379u,Windows OS,1
22257,57901u,Windows OS,1
22258,244242u,Windows OS,1
22259,159107u,Windows OS,1
22260,222853u,Mac OS,1
22261,244526u,Windows OS,1
22262,49065u,Mac OS,1
22263,36168u,Windows OS,1
22264,176064u,Windows OS,1
22265,150127u,Mac OS,1
22266,57953u,Mac OS,1
22267,43299u,Windows OS,1
22268,272117u,Mac OS,1
22269,223806u,Windows OS,1
22270,218182u,Windows OS,1
22271,243526u,Mac OS,1
22272,126889u,Mac OS,1
22273,164452u,Windows OS,1
22274,97432u,Mac OS,1
22275,225826u,Mac OS,1
22276,219410u,Mac OS,1
22277,182456u,Mac OS,1
22278,116246u,Windows OS,1
22279,8852u,Windows OS,1
22280,49327u,Windows OS,1
22281,253903u,Windows OS,1
22282,13101u,Windows OS,1
22283,78794u,Mac OS,1
22284,224390u,Mac OS,1
22285,238756u,Windows OS,1
22286,152223u,Mac OS,1
22287,192981u,Windows OS,1
22288,63393u,Mac OS,1
22289,49451u,Windows OS,1
22290,152043u,Mac OS,1
22291,16058u,Mac OS,1
22292,16159u,Windows OS,1
22293,179833u,Windows OS,1
22294,137684u,Windows OS,1
22295,145466u,Mac OS,1
22296,52656u,Mac OS,1
22297,195757u,Windows OS,1
22298,54706u,Windows OS,1
22299,217294u,Windows OS,1
22300,137777u,Mac OS,1
22301,144820u,Windows OS,1
22302,191737u,Mac OS,1
22303,139984u,Windows OS,1
22304,199523u,Mac OS,1
22305,192007u,Windows OS,1
22306,232550u,Windows OS,1
22307,142386u,Windows OS,1
22308,240185u,Mac OS,1
22309,91497u,Windows OS,1
22310,195977u,Windows OS,1
22311,42493u,Windows OS,1
22312,256322u,Mac OS,1
22313,47593u,Mac OS,1
22314,280877u,Windows OS,1
22315,111114u,Windows OS,1
22316,31162u,Mac OS,1
22317,133771u,Mac OS,1
22318,42659u,Mac OS,1
22319,25088u,Mac OS,1
22320,132255u,Mac OS,1
22321,51210u,Mac OS,1
22322,50010u,Mac OS,1
22323,12017u,Windows OS,1
22324,299877u,Windows OS,1
22325,277445u,Mac OS,1
22326,2262u,Mac OS,1
22327,181269u,Windows OS,1
22328,151531u,Mac OS,1
22329,214481u,Mac OS,1
22330,190378u,Windows OS,1
22331,17871u,Windows OS,1
22332,142752u,Windows OS,1
22333,215481u,Windows OS,1
22334,22853u,Windows OS,1
22335,269173u,Mac OS,1
22336,154413u,Mac OS,1
22337,23882u,Windows OS,1
22338,96173u,Windows OS,1
22339,146707u,Mac OS,1
22340,162945u,Windows OS,1
22341,195809u,Mac OS,1
22342,132763u,Windows OS,1
22343,57132u,Windows OS,1
22344,231985u,Mac OS,1
22345,108469u,Windows OS,1
22346,192657u,Windows OS,1
22347,297817u,Windows OS,1
22348,29456u,Windows OS,1
22349,101782u,Windows OS,1
22350,4618u,Mac OS,1
22351,94471u,Mac OS,1
22352,10341u,Mac OS,1
22353,28804u,Windows OS,1
22354,119668u,Mac OS,1
22355,240994u,Mac OS,1
22356,112025u,Windows OS,1
22357,2649u,Windows OS,1
22358,140662u,Windows OS,1
22359,140662u,Mac OS,1
22360,183617u,Windows OS,1
22361,209644u,Windows OS,1
22362,232978u,Windows OS,1
22363,277121u,Mac OS,1
22364,248052u,Mac OS,1
22365,240800u,Windows OS,1
22366,28039u,Windows OS,1
22367,292141u,Windows OS,1
22368,46020u,Mac OS,1
22369,96980u,Mac OS,1
22370,72878u,Windows OS,1
22371,238101u,Mac OS,1
22372,177796u,Mac OS,1
22373,106303u,Mac OS,1
22374,6005u,Windows OS,1
22375,25436u,Mac OS,1
22376,37254u,Windows OS,1
22377,257135u,Windows OS,1
22378,195084u,Mac OS,1
22379,176313u,Windows OS,1
22380,22418u,Mac OS,1
22381,180424u,Windows OS,1
22382,228017u,Windows OS,1
22383,164010u,Windows OS,1
22384,36798u,Mac OS,1
22385,193624u,Mac OS,1
22386,155779u,Windows OS,1
22387,35191u,Windows OS,1
22388,148121u,Mac OS,1
22389,163473u,Mac OS,1
22390,109241u,Mac OS,1
22391,249313u,Mac OS,1
22392,119724u,Mac OS,1
22393,187678u,Mac OS,1
22394,30830u,Windows OS,1
22395,293988u,Windows OS,1
22396,194331u,Mac OS,1
22397,40299u,Windows OS,1
22398,248311u,Mac OS,1
22399,144482u,Mac OS,1
22400,40092u,Windows OS,1
22401,172080u,Windows OS,1
22402,85913u,Windows OS,1
22403,117566u,Windows OS,1
22404,110659u,Mac OS,1
22405,243801u,Windows OS,1
22406,105047u,Mac OS,1
22407,223780u,Mac OS,1
22408,115569u,Windows OS,1
22409,160379u,Mac OS,1
22410,282954u,Windows OS,1
22411,232752u,Windows OS,1
22412,232752u,Mac OS,1
22413,222725u,Windows OS,1
22414,184898u,Mac OS,1
22415,207752u,Mac OS,1
22416,163241u,Mac OS,1
22417,106926u,Windows OS,1
22418,151328u,Windows OS,1
22419,194347u,Mac OS,1
22420,102666u,Mac OS,1
22421,129591u,Windows OS,1
22422,217238u,Mac OS,1
22423,41589u,Windows OS,1
22424,299104u,Mac OS,1
22425,205902u,Mac OS,1
22426,263255u,Windows OS,1
22427,27482u,Mac OS,1
22428,30870u,Windows OS,1
22429,243471u,Mac OS,1
22430,216069u,Windows OS,1
22431,5120u,Windows OS,1
22432,41240u,Windows OS,1
22433,89081u,Windows OS,1
22434,43692u,Mac OS,1
22435,93145u,Windows OS,1
22436,52896u,Windows OS,1
22437,65203u,Windows OS,1
22438,110007u,Mac OS,1
22439,106897u,Windows OS,1
22440,256227u,Mac OS,1
22441,242089u,Windows OS,1
22442,37232u,Mac OS,1
22443,15402u,Windows OS,1
22444,94186u,Mac OS,1
22445,13390u,Windows OS,1
22446,121336u,Mac OS,1
22447,12548u,Windows OS,1
22448,24653u,Mac OS,1
22449,140213u,Mac OS,1
22450,37536u,Windows OS,1
22451,147263u,Windows OS,1
22452,256444u,Windows OS,1
22453,111503u,Windows OS,1
22454,122338u,Mac OS,1
22455,197181u,Windows OS,1
22456,174454u,Mac OS,1
22457,121991u,Windows OS,1
22458,9537u,Windows OS,1
22459,59892u,Windows OS,1
22460,75814u,Mac OS,1
22461,231578u,Mac OS,1
22462,182774u,Windows OS,1
22463,428u,Mac OS,1
22464,256881u,Mac OS,1
22465,128615u,Mac OS,1
22466,199163u,Windows OS,1
22467,199796u,Mac OS,1
22468,251700u,Windows OS,1
22469,10057u,Windows OS,1
22470,147222u,Windows OS,1
22471,7793u,Mac OS,1
22472,109182u,Windows OS,1
22473,148977u,Windows OS,1
22474,86410u,Windows OS,1
22475,291389u,Windows OS,1
22476,291389u,Mac OS,1
22477,278143u,Mac OS,1
22478,123469u,Mac OS,1
22479,93959u,Windows OS,1
22480,187846u,Windows OS,1
22481,210155u,Windows OS,1
22482,183471u,Windows OS,1
22483,110428u,Windows OS,1
22484,248320u,Mac OS,1
22485,9104u,Windows OS,1
22486,153695u,Mac OS,1
22487,248695u,Mac OS,1
22488,236628u,Windows OS,1
22489,257486u,Windows OS,1
22490,29550u,Windows OS,1
22491,82282u,Windows OS,1
22492,228948u,Mac OS,1
22493,189892u,Windows OS,1
22494,164945u,Mac OS,1
22495,1544u,Windows OS,1
22496,247418u,Mac OS,1
22497,18670u,Windows OS,1
22498,125190u,Windows OS,1
22499,201097u,Mac OS,1
22500,58922u,Windows OS,1
22501,145321u,Mac OS,1
22502,120911u,Mac OS,1
22503,70846u,Windows OS,1
22504,24093u,Windows OS,1
22505,265597u,Windows OS,1
22506,206288u,Windows OS,1
22507,149867u,Windows OS,1
22508,215730u,Mac OS,1
22509,235185u,Windows OS,1
22510,65085u,Windows OS,1
22511,154885u,Windows OS,1
22512,239939u,Windows OS,1
22513,33757u,Windows OS,1
22514,30070u,Mac OS,1
22515,35053u,Windows OS,1
22516,169653u,Windows OS,1
22517,294527u,Windows OS,1
22518,130817u,Mac OS,1
22519,271018u,Windows OS,1
22520,64127u,Windows OS,1
22521,208155u,Windows OS,1
22522,40298u,Windows OS,1
22523,195130u,Windows OS,1
22524,219335u,Mac OS,1
22525,237290u,Windows OS,1
22526,158420u,Windows OS,1
22527,262219u,Mac OS,1
22528,163997u,Windows OS,1
22529,38275u,Windows OS,1
22530,7777u,Mac OS,1
22531,194423u,Mac OS,1
22532,31764u,Windows OS,1
22533,250151u,Windows OS,1
22534,245557u,Windows OS,1
22535,80235u,Windows OS,1
22536,230658u,Windows OS,1
22537,184637u,Windows OS,1
22538,91040u,Windows OS,1
22539,214142u,Windows OS,1
22540,237579u,Windows OS,1
22541,194586u,Mac OS,1
22542,231823u,Mac OS,1
22543,71847u,Mac OS,1
22544,64135u,Windows OS,1
22545,38898u,Windows OS,1
22546,127273u,Mac OS,1
22547,221414u,Mac OS,1
22548,254902u,Windows OS,1
22549,30338u,Mac OS,1
22550,56230u,Windows OS,1
22551,51167u,Windows OS,1
22552,51167u,Mac OS,1
22553,52382u,Mac OS,1
22554,254742u,Mac OS,1
22555,50025u,Windows OS,1
22556,217168u,Windows OS,1
22557,50331u,Windows OS,1
22558,162674u,Windows OS,1
22559,274701u,Windows OS,1
22560,26110u,Windows OS,1
22561,74208u,Mac OS,1
22562,176736u,Windows OS,1
22563,262840u,Mac OS,1
22564,71358u,Windows OS,1
22565,113774u,Mac OS,1
22566,267770u,Windows OS,1
22567,234420u,Mac OS,1
22568,74777u,Mac OS,1
22569,125448u,Mac OS,1
22570,255349u,Windows OS,1
22571,12188u,Mac OS,1
22572,244502u,Mac OS,1
22573,280541u,Windows OS,1
22574,69638u,Windows OS,1
22575,145584u,Windows OS,1
22576,84849u,Mac OS,1
22577,160896u,Mac OS,1
22578,148900u,Windows OS,1
22579,264353u,Mac OS,1
22580,28203u,Windows OS,1
22581,226068u,Windows OS,1
22582,145811u,Windows OS,1
22583,102582u,Windows OS,1
22584,75526u,Windows OS,1
22585,196211u,Mac OS,1
22586,184143u,Mac OS,1
22587,292330u,Mac OS,1
22588,22792u,Windows OS,1
22589,132224u,Windows OS,1
22590,226167u,Mac OS,1
22591,109810u,Mac OS,1
22592,98657u,Windows OS,1
22593,214282u,Mac OS,1
22594,293962u,Mac OS,1
22595,139049u,Mac OS,1
22596,37528u,Mac OS,1
22597,199843u,Windows OS,1
22598,101671u,Windows OS,1
22599,52861u,Mac OS,1
22600,136180u,Mac OS,1
22601,169415u,Windows OS,1
22602,109978u,Mac OS,1
22603,136120u,Windows OS,1
22604,224215u,Mac OS,1
22605,85976u,Mac OS,1
22606,211672u,Windows OS,1
22607,229460u,Mac OS,1
22608,273841u,Windows OS,1
22609,256442u,Mac OS,1
22610,163502u,Mac OS,1
22611,195320u,Windows OS,1
22612,149609u,Windows OS,1
22613,266748u,Mac OS,1
22614,139648u,Mac OS,1
22615,142938u,Windows OS,1
22616,211321u,Mac OS,1
22617,229084u,Mac OS,1
22618,296531u,Mac OS,1
22619,156826u,Mac OS,1
22620,187400u,Mac OS,1
22621,223089u,Mac OS,1
22622,122304u,Mac OS,1
22623,226614u,Windows OS,1
22624,241325u,Mac OS,1
22625,40454u,Windows OS,1
22626,276707u,Windows OS,1
22627,213014u,Windows OS,1
22628,222282u,Windows OS,1
22629,138722u,Windows OS,1
22630,171199u,Windows OS,1
22631,277402u,Mac OS,1
22632,289080u,Mac OS,1
22633,12670u,Windows OS,1
22634,59116u,Mac OS,1
22635,232171u,Mac OS,1
22636,111706u,Mac OS,1
22637,22387u,Windows OS,1
22638,94493u,Windows OS,1
22639,211787u,Windows OS,1
22640,239090u,Windows OS,1
22641,141112u,Mac OS,1
22642,74054u,Windows OS,1
22643,47494u,Mac OS,1
22644,295924u,Windows OS,1
22645,63019u,Mac OS,1
22646,100082u,Windows OS,1
22647,9703u,Mac OS,1
22648,231095u,Mac OS,1
22649,107312u,Windows OS,1
22650,92806u,Windows OS,1
22651,48146u,Mac OS,1
22652,137898u,Windows OS,1
22653,182756u,Windows OS,1
22654,200505u,Windows OS,1
22655,225945u,Windows OS,1
22656,2994u,Mac OS,1
22657,109742u,Windows OS,1
22658,192005u,Mac OS,1
22659,127499u,Windows OS,1
22660,202979u,Windows OS,1
22661,34756u,Windows OS,1
22662,138807u,Mac OS,1
22663,148211u,Mac OS,1
22664,176501u,Windows OS,1
22665,254556u,Mac OS,1
22666,9896u,Windows OS,1
22667,165046u,Mac OS,1
22668,286331u,Mac OS,1
22669,278966u,Windows OS,1
22670,74197u,Mac OS,1
22671,80223u,Windows OS,1
22672,209311u,Windows OS,1
22673,62751u,Mac OS,1
22674,34963u,Mac OS,1
22675,28204u,Windows OS,1
22676,8750u,Windows OS,1
22677,42950u,Windows OS,1
22678,15040u,Mac OS,1
22679,254590u,Windows OS,1
22680,91314u,Windows OS,1
22681,293447u,Mac OS,1
22682,192543u,Mac OS,1
22683,144872u,Mac OS,1
22684,180883u,Windows OS,1
22685,53376u,Mac OS,1
22686,124723u,Windows OS,1
22687,47861u,Windows OS,1
22688,154872u,Mac OS,1
22689,78471u,Windows OS,1
22690,235887u,Mac OS,1
22691,211760u,Mac OS,1
22692,230758u,Windows OS,1
22693,11867u,Mac OS,1
22694,767u,Mac OS,1
22695,141035u,Mac OS,1
22696,150793u,Mac OS,1
22697,158669u,Windows OS,1
22698,180629u,Windows OS,1
22699,284489u,Windows OS,1
22700,195828u,Windows OS,1
22701,275544u,Windows OS,1
22702,286730u,Windows OS,1
22703,271215u,Windows OS,1
22704,209408u,Windows OS,1
22705,292496u,Windows OS,1
22706,196230u,Windows OS,1
22707,60493u,Mac OS,1
22708,4426u,Windows OS,1
22709,161974u,Windows OS,1
22710,10641u,Mac OS,1
22711,66418u,Mac OS,1
22712,34291u,Mac OS,1
22713,208595u,Windows OS,1
22714,122206u,Windows OS,1
22715,286476u,Windows OS,1
22716,39315u,Windows OS,1
22717,88048u,Windows OS,1
22718,86485u,Windows OS,1
22719,222578u,Windows OS,1
22720,805u,Windows OS,1
22721,192102u,Windows OS,1
22722,294216u,Mac OS,1
22723,95040u,Windows OS,1
22724,278329u,Windows OS,1
22725,195348u,Mac OS,1
22726,38963u,Windows OS,1
22727,100739u,Mac OS,1
22728,112723u,Windows OS,1
22729,65366u,Mac OS,1
22730,185167u,Mac OS,1
22731,65716u,Mac OS,1
22732,51803u,Windows OS,1
22733,9572u,Mac OS,1
22734,254850u,Mac OS,1
22735,228845u,Windows OS,1
22736,174414u,Windows OS,1
22737,259248u,Windows OS,1
22738,184710u,Windows OS,1
22739,85840u,Mac OS,1
22740,243964u,Mac OS,1
22741,80702u,Windows OS,1
22742,74922u,Mac OS,1
22743,119388u,Windows OS,1
22744,47422u,Windows OS,1
22745,181277u,Windows OS,1
22746,117423u,Windows OS,1
22747,80131u,Mac OS,1
22748,261598u,Windows OS,1
22749,28691u,Windows OS,1
22750,132054u,Mac OS,1
22751,86468u,Windows OS,1
22752,243772u,Windows OS,1
22753,98408u,Mac OS,1
22754,141130u,Mac OS,1
22755,255629u,Mac OS,1
22756,256141u,Windows OS,1
22757,42895u,Mac OS,1
22758,203881u,Windows OS,1
22759,147273u,Windows OS,1
22760,299518u,Mac OS,1
22761,279826u,Windows OS,1
22762,1329u,Windows OS,1
22763,48208u,Windows OS,1
22764,169029u,Windows OS,1
22765,119368u,Windows OS,1
22766,144215u,Windows OS,1
22767,191342u,Windows OS,1
22768,75325u,Windows OS,1
22769,208359u,Mac OS,1
22770,281697u,Windows OS,1
22771,222466u,Windows OS,1
22772,285566u,Windows OS,1
22773,277283u,Windows OS,1
22774,286374u,Mac OS,1
22775,246367u,Windows OS,1
22776,92439u,Windows OS,1
22777,145405u,Windows OS,1
22778,218403u,Windows OS,1
22779,129007u,Windows OS,1
22780,90657u,Mac OS,1
22781,49268u,Windows OS,1
22782,3128u,Windows OS,1
22783,153340u,Mac OS,1
22784,85991u,Windows OS,1
22785,224717u,Windows OS,1
22786,166120u,Mac OS,1
22787,152872u,Windows OS,1
22788,89313u,Mac OS,1
22789,111808u,Mac OS,1
22790,287279u,Windows OS,1
22791,180504u,Mac OS,1
22792,143860u,Windows OS,1
22793,70843u,Mac OS,1
22794,213937u,Mac OS,1
22795,18013u,Windows OS,1
22796,119016u,Mac OS,1
22797,55875u,Mac OS,1
22798,28319u,Windows OS,1
22799,296529u,Mac OS,1
22800,248011u,Mac OS,1
22801,2781u,Windows OS,1
22802,36420u,Mac OS,1
22803,211213u,Windows OS,1
22804,79927u,Windows OS,1
22805,198580u,Mac OS,1
22806,74017u,Mac OS,1
22807,150484u,Windows OS,1
22808,298234u,Windows OS,1
22809,121205u,Windows OS,1
22810,150553u,Windows OS,1
22811,137877u,Windows OS,1
22812,2433u,Mac OS,1
22813,194990u,Mac OS,1
22814,166396u,Windows OS,1
22815,216225u,Windows OS,1
22816,211748u,Windows OS,1
22817,48392u,Mac OS,1
22818,294410u,Mac OS,1
22819,46236u,Windows OS,1
22820,53398u,Windows OS,1
22821,7348u,Windows OS,1
22822,8675u,Windows OS,1
22823,113308u,Windows OS,1
22824,243844u,Mac OS,1
22825,51839u,Mac OS,1
22826,129548u,Windows OS,1
22827,200358u,Mac OS,1
22828,44698u,Windows OS,1
22829,144102u,Windows OS,1
22830,126962u,Mac OS,1
22831,80872u,Windows OS,1
22832,260269u,Windows OS,1
22833,53415u,Windows OS,1
